eduid,id,official_name,official_short,official_address,official_region,official_years,our_name,our_short,our_years
100002924,017053676,Stredná odborná škola automobilová,SOŠ automobilová,"Coburgova 39, Trnava",Trnavský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100007556,017053722,Stredná odborná škola strojnícka,SOŠ strojnícka,"Športová, Kysucké Nové Mesto",Žilinský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100008249,017053846,Stredná odborná škola podnikania a služieb,Stredná odborná škola,"Hattalova 33, Námestovo",Žilinský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100000363,017053871,Stredná odborná škola kaderníctva a vizážistiky,SOŠ kaderníctva a vizážistiky,"Svätoplukova 2, Bratislava-Ružinov",Bratislavský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100005549,017053889,Škola umeleckého priemyslu Ladislava Bielika,Šk. umelec. priem. L. Bielika,"Vajanského 23, Levice",Nitriansky,"ss:1,ss:4,ss:3,ss:2",,,
100005738,017054222,Stredná odborná škola potravinárska,SOŠ potravinárska,"Cabajská 6, Nitra",Nitriansky,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100006278,017054249,Stredná odborná škola potravinárska,SOŠ potravinárska,"Krušovská 2091, Topoľčany",Nitriansky,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100000848,017054281,Stredná odborná škola gastronómie a hotelových služieb,SOŠ,"Farského 9, Bratislava-Petržalka",Bratislavský,"ss:1,ss:9,ss:4,ss:3,ss:2,ss:5",,,
100003944,017054389,Základná škola sv. Augustína,ZŠ sv. Augustína,"Moyzesova 1, Považská Bystrica",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004690,017055202,Stredná odborná škola dopravná,SOŠ dopravná,"Školská 66, Trenčín",Trenčiansky,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100008085,017055211,Stredná odborná škola dopravná,SOŠ dopravná,"Zelená, Martin",Žilinský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100002966,017055237,Súkromná stredná odborná škola DSA,Súkr. SOŠ DSA,"Koniarekova 17, Trnava",Trnavský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100009163,017055377,Stredná odborná škola elektrotechnická,SOŠ elektrotechnická,"Komenského, Žilina",Žilinský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100003028,017055385,Stredná odborná škola elektrotechnická,SOŠ elektrotechnická,"Sibírska 1, Trnava",Trnavský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100015675,017055393,Stredná odborná škola techniky a služieb - Műszaki és Szolgáltóipari Szakközépiskola,SOŠ techniky a služieb,"Janka Kráľa 25, Veľké Kapušany",Košický,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100000544,017055415,Stredná odborná škola informačných technológií,SOŠ-IT,"Hlinícka 1, Bratislava-Rača",Bratislavský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100009350,017055431,Stredná odborná škola informačných technológií,SOŠ infor. technológií,"Tajovského 30, Banská Bystrica",Banskobystrický,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100009839,017058554,Gymnázium,Gymnázium,"Štúrova 849, Detva",Banskobystrický,"gym:8,gym:4",,,
100009283,017059640,Obchodná akadémia sv. Tomáša Akvinského,Obch.akadémia sv.T.Akv.,"Vysokoškolákov 13, Žilina",Žilinský,"ss:9,ss:4",,,
100008508,017059844,Stredná zdravotnícka škola M. T. Schererovej,Stredná zdrav. škola,"Dončova 7, Ružomberok",Žilinský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100007109,017059852,Stredná zdravotnícka škola sv. Františka z Assisi,Stredná zdrav. škola,"Horná 137, Čadca",Žilinský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100008818,017060010,Cirkevná základná škola Štefana Šmálika,Cirkevná ZŠ Š. Šmálika,"Školská, Tvrdošín",Žilinský,"zs:10,ss:9,zs:9,ss:10",,,
100007742,017060079,Základná škola Apoštola Pavla,ZŠ Apoštola Pavla,"Jura Janošku, Liptovský Mikuláš",Žilinský,"zs:10,ss:9,zs:9,ss:10",,,
100007266,017060125,Cirkevná základná škola Jána Palárika,Cirk. ZŠ J. Palárika,Raková,Žilinský,"zs:10,ss:9,zs:9,ss:10",,,
100010889,017060265,Základná škola sv. Dominika Savia,Základná škola sv.D.S.,"M. M. Hodžu 9, Zvolen",Banskobystrický,"zs:10,ss:9,zs:9,ss:10",,,
100011064,017060354,Základná škola Andreja Kmeťa,Základná škola A.K.,"Ul. A. Sládkoviča 24, Žarnovica",Banskobystrický,"zs:10,ss:9,zs:9,ss:10",,,
100008544,017060532,Gymnázium sv. Andreja,Gymnázium sv. Andreja,"Námestie A. Hlinku 5, Ružomberok",Žilinský,"gym:8,gym:4",,,
100007268,017066867,Základná škola Milana Mravca,Základná škola,Raková,Žilinský,"zs:10,ss:9,zs:9,ss:10",,,
100009326,017067391,Základná škola,Základná škola,"Golianova 8, Banská Bystrica",Banskobystrický,"zs:10,ss:9,zs:9,ss:10",,,
100009560,017067405,Základná škola,Základná škola,"Školská 4, Selce",Banskobystrický,"zs:10,ss:9,zs:9,ss:10",,,
100010015,017067880,Špeciálna základná škola internátna Bentlakásos Speciális Alapiskola,Špeciálna zákl.škola i.,"Viničná 12, Fiľakovo",Banskobystrický,"ss:9,zs:10,zs:9,ss:10",,,
100012496,017068193,Základná škola s materskou školou,Základná škola s MŠ,"Koperníkova ulica 21, Poprad",Prešovský,"zs:10,ss:9,zs:9,ss:10",,,
100012416,017068207,Základná škola s materskou školou,Základná škola s MŠ,"Dostojevského ul. 25, Poprad",Prešovský,"zs:10,ss:9,zs:9,ss:10",,,
100012467,017068215,Základná škola s materskou školou,Základná škola s MŠ,"Tajovského ulica 17, Poprad",Prešovský,"zs:10,ss:9,zs:9,ss:10",,,
100012502,017068223,Základná škola s materskou školou,Základná škola s MŠ,"Vagonárska ulica 4, Poprad",Prešovský,"zs:10,ss:9,zs:9,ss:10",,,
100012525,017068975,Základná škola,Základná škola,"Komenského 2, Svit",Prešovský,"zs:10,ss:9,zs:9,ss:10",,,
100012535,017070341,Špeciálna základná škola,Špec. základná škola,"Mierová 171, Svit",Prešovský,"ss:9,zs:10,zs:9,ss:10",,,
100012581,017070376,Základná škola s materskou školou pri zdravotníckom zariadení,ZŠ s MŠ pri ZZ,"Dolný Smokovec 70, Vysoké Tatry",Prešovský,"ss:9,ss:10,zs:10,zs:9",,,
100013218,017070414,Špeciálna základná škola,Špec. základná škola,"Kostolná 10, Ostrovany",Prešovský,"ss:9,zs:10,zs:9,ss:10",,,
100013161,017070422,Špeciálna základná škola,Špec. základná škola,Jarovnice,Prešovský,"ss:9,zs:10,zs:9,ss:10",,,
100012209,017070449,Špeciálna základná škola,Špec. základná škola,"Fraňa Kráľa 3, Levoča",Prešovský,"ss:9,zs:10,zs:9,ss:10",,,
100012125,017070465,Špeciálna základná škola,Špec. základná škola,"Kostolná 18, Toporec",Prešovský,"ss:9,zs:10,zs:9,ss:10",,,
100012100,017070473,Špeciálna základná škola,Špec. základná škola,"Zimná 21, Spišská Belá",Prešovský,"ss:9,zs:10,zs:9,ss:10",,,
100011428,017070503,Základná škola s materskou školou pri zdravotníckom zariadení,ZŠ s MŠ pri ZZ,"Bardejovské kúpele 13, Bardejov",Prešovský,"ss:9,ss:10,zs:10,zs:9",,,
100011721,017070511,Špeciálna základná škola,Špec. základná škola,"Školská 478, Zborov",Prešovský,"ss:9,zs:10,zs:9,ss:10",,,
100015352,017070589,Základná škola s materskou školou,Základná škola s MŠ,"Hlavná 79, Slanec",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100016412,017071089,Základná škola s materskou školou,Základná škola s MŠ,"Hlavná 267, Kuzmice",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100016480,017071097,Základná škola,Základná škola,"Komenského 4, Sečovce",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100014745,017078334,Gymnázium sv. Tomáša Akvinského,Gymn. sv. T. Akvinského,"Zbrojničná 3, Košice-Staré Mesto",Košický,"gym:8,gym:4",,,
100015580,017078385,Stredná odborná škola obchodu a služieb,SOŠ obchodu a služieb,"Školská 4, Michalovce",Košický,"ss:1,ss:9,ss:4,ss:3,ss:2,ss:5",,,
100011842,017078393,Hotelová akadémia,Hotelová akadémia,"Štefánikova 28, Humenné",Prešovský,"ss:1,ss:9,ss:4,ss:3,ss:2,ss:5",,,
100014986,017078407,Stredná odborná škola automobilová,SOŠ automobilová,"Moldavská cesta 2, Košice-Juh",Košický,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100014969,017078423,Stredná odborná škola beauty služieb,SOŠ beauty služieb,"Gemerská 1, Košice-Juh",Košický,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100012853,017078440,Stredná odborná škola dopravná,SOŠ dopravná,"Volgogradská 3, Prešov",Prešovský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100012995,017078466,Škola umeleckého priemyslu,Škola umeleckého priemyslu,"Vodárenská 3, Prešov",Prešovský,"ss:1,ss:4,ss:3,ss:2",,,
100012945,017078482,Stredná odborná škola gastronómie a služieb,SOŠ gastronómie a služieb,"Sídlisko duklianskych hrdinov 3, Prešov",Prešovský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100016237,017078491,Stredná odborná škola techniky a služieb,SOŠ techniky a služieb,"Markušovská cesta 4, Spišská Nová Ves",Košický,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100016248,017078504,Hotelová akadémia,Hotelová akadémia,"Radničné námestie 1, Spišská Nová Ves",Košický,"ss:1,ss:9,ss:4,ss:3,ss:2,ss:5",,,
100014824,017079756,Základná škola sv. Cyrila a Metoda,ZŠ sv. Cyrila a Metoda,"Bernolákova 18, Košice-Západ",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015588,017080703,Základná škola Teodora Jozefa Moussona,Základná škola,"T. J. Moussona 4, Michalovce",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015520,017080711,Základná škola,Základná škola,"Jána Švermu 6, Michalovce",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015550,017080720,Základná škola,Základná škola,"Moskovská 1, Michalovce",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015515,017080738,Základná škola,Základná škola,"Jána A. Komenského 1, Michalovce",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015576,017080746,Základná škola,Základná škola,"Školská 2, Michalovce",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015554,017080754,Základná škola,Základná škola,"Okružná 17, Michalovce",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015536,017080762,Základná škola,Základná škola,"Krymská 5, Michalovce",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015532,017080771,Základná škola Pavla Horova,Základná škola P.H.,"Kpt. Nálepku 16, Michalovce",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100012223,017082447,Gymnázium sv. Františka Assiského,Gymnázium sv. F. Assis.,"Kláštorská 24, Levoča",Prešovský,"gym:8,gym:4",,,
100015539,017151341,Gymnázium,Gymnázium,"Ľ. Štúra 26, Michalovce",Košický,"gym:8,gym:5,gym:4",,,
100013494,017151481,Stredná odborná škola sv. Klementa Hofbauera,Stredná odborná škola,"Kláštorná 2, Podolínec",Prešovský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100012701,017151503,Cirkevná základná škola sv. Michala,CZŠ sv. Michala,Kendice,Prešovský,"zs:10,ss:9,zs:9,ss:10",,,
100016216,017151589,Gymnázium,Gymnázium,"Javorová 16, Spišská Nová Ves",Košický,"gym:8,gym:5,gym:4",,,
100016177,017151961,Základná škola Povýšenia sv. Kríža,ZŠ Povýšenia sv. Kríža,"Smreková 38, Smižany",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100000486,017314895,Stredná odborná škola beauty služieb,SOŠ beauty služieb,"Račianska 105, Bratislava-Nové Mesto",Bratislavský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100000346,017314909,Škola umeleckého priemyslu,Škola umeleckého priemyslu,"Sklenárova 7, Bratislava-Ružinov",Bratislavský,ss:4,,,
100000056,017318840,Gymnázium Matky Alexie,Gymnázium Matky Alexie,"Jesenského A, Bratislava-Staré Mesto",Bratislavský,"gym:8,gym:4",,,
100000098,017318858,Základná škola Matky Alexie,ZŠ Matky Alexie,"Palackého 1, Bratislava-Staré Mesto",Bratislavský,"zs:10,ss:9,zs:9,ss:10",,,
100000669,017319161,Stredná priemyselná škola elektrotechnická,SPŠ elektrotechnická,"Karola Adlera 5, Bratislava-Dúbravka",Bratislavský,ss:4,,,
100000970,017327164,Evanjelické lýceum,Evanjelické lýceum,"Vranovská 2, Bratislava-Petržalka",Bratislavský,"gym:8,gym:5,gym:4",,,
100000105,017327172,Evanjelická základná škola,Evanjelická ZŠ,"Palisády 57, Bratislava-Staré Mesto",Bratislavský,"zs:10,ss:9,zs:9,ss:10",,,
100000305,017327652,Obchodná akadémia,Obchodná akadémia,"Nevädzová 3, Bratislava-Ružinov",Bratislavský,"ss:9,ss:4",,,
100000870,017327661,Stredná priemyselná škola elektrotechnická,SPŠ elektrotechnická,"Hálova 16, Bratislava-Petržalka",Bratislavský,"ss:9,ss:4",,,
100000158,017337046,Gymnázium Jána Papánka,Gymnázium,"Vazovova 6, Bratislava-Staré Mesto",Bratislavský,"gym:8,gym:5,gym:4",,,
100000727,017337054,Gymnázium,Gymnázium,"Ladislava Sáru 1, Bratislava-Karlova Ves",Bratislavský,"gym:8,gym:5,gym:4",,,
100000251,017337062,Gymnázium Ivana Horvátha,Gymnázium,"Ivana Horvátha 14, Bratislava-Ružinov",Bratislavský,"gym:8,gym:5,gym:4",,,
100000548,017337071,Gymnázium,Gymnázium,"Hubeného 23, Bratislava-Rača",Bratislavský,"gym:8,gym:5,gym:4",,,
100000024,017337089,Základná škola a GYMNÁZIUM s vyučovacím jazykom maďarským - Magyar Tannyelvű Alapiskola és Gimnázium,Gymnázium s VJM,"Dunajská 13, Bratislava-Staré Mesto",Bratislavský,"gym:8,gym:4",,,
100000191,017337097,Gymnázium Federica Garcíu Lorcu,Gymnázium F. G. Lorcu,"Hronská 3, Bratislava-Podunajské Biskupice",Bratislavský,"gym:8,gym:5,gym:4",,,
100000041,017337101,Gymnázium,Gymnázium,"Grösslingová 18, Bratislava-Staré Mesto",Bratislavský,"gym:8,gym:5,gym:4",,,
100000228,017337631,Základná škola Pavla Marcelyho,Základná škola,"Drieňová 16, Bratislava-Ružinov",Bratislavský,"zs:10,ss:9,zs:9,ss:10",,,
100004629,017638593,Stredná odborná škola letecko - technická,SOŠ letecko-technická,"Legionárska 160, Trenčín",Trenčiansky,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100002939,017643902,Základná škola s Materskou školou Angely Merici,ZŠ s MŠ Angely Merici,"Halenárska 45, Trnava",Trnavský,"zs:10,ss:9,zs:9,ss:10",,,
100006562,018048650,Základná škola svätého Don Bosca,ZŠ sv. Don Bosca,"Ul. 1. mája 24, Zlaté Moravce",Nitriansky,"zs:10,ss:9,zs:9,ss:10",,,
100001962,030022754,Súkromné bilingválne gymnázium,Súkr.bilingválne GYM,"Hodská 10, Galanta",Trnavský,gym:5,,,
100009144,030222052,Gymnázium sv. Františka z Assisi,Gymnázium sv. Františka,"J. M. Hurbana, Žilina",Žilinský,"gym:8,gym:4",,,
100010620,030231621,Evanjelické gymnázium,Evanjelické gymnázium,"Jesenského 836, Tisovec",Banskobystrický,gym:5,,,
100009442,030232171,Evanjelické gymnázium,Evanjelické gymnázium,"Skuteckého 5, Banská Bystrica",Banskobystrický,"gym:8,gym:5,gym:4",,,
100007288,030232228,Základná škola sv. Andreja Svorada a Benedikta,Základná škola,Skalité,Žilinský,"zs:10,ss:9,zs:9,ss:10",,,
100011019,030232481,Základná škola sv. Alžbety,Základná škola sv. Al.,"Školská 15, Nová Baňa",Banskobystrický,"zs:10,ss:9,zs:9,ss:10",,,
100009339,030232503,Katolícke gymnázium Štefana Moysesa,Katolícke gymnázium Š.M,"Hurbanova 9, Banská Bystrica",Banskobystrický,"gym:8,gym:4",,,
100008560,030232953,Obchodná akadémia,Obchodná akadémia,"Scota Viatora, Ružomberok",Žilinský,"ss:9,ss:4",,,
100007965,030233844,Základná škola s materskou školou,Základná škola s MŠ,"Hurbanova 27, Martin",Žilinský,"zs:10,ss:9,zs:9,ss:10",,,
100000276,030775311,Stredná priemyselná škola dopravná,SPŠ dopravná,"Kvačalova 20, Bratislava-Ružinov",Bratislavský,"ss:9,ss:4",,,
100000711,030775329,Škola umeleckého priemyslu Josefa Vydru,Škola umeleckého priemyslu,"Dúbravská cesta 11, Bratislava-Karlova Ves",Bratislavský,ss:4,,,
100000160,030775353,Stredná priemyselná škola elektrotechnická,SPŠ elektrotechnická,"Zochova 9, Bratislava-Staré Mesto",Bratislavský,"ss:9,ss:4",,,
100000648,030775361,Stredná odborná škola pedagogická,SOŠ pedagogická,"Bullova 2, Bratislava-Dúbravka",Bratislavský,"ss:9,ss:4",,,
100000027,030775396,Stredná priemyselná škola strojnícka,SPŠ strojnícka,"Fajnorovo nábrežie 5, Bratislava-Staré Mesto",Bratislavský,"ss:9,ss:4",,,
100000555,030775400,Stredná odborná škola masmediálnych a informačných štúdií,SOŠ  masmed.a inf. št.,"Kadnárova 7, Bratislava-Rača",Bratislavský,"ss:9,ss:4",,,
100000488,030775418,Obchodná akadémia,Obchodná akadémia,"Račianska 107, Bratislava-Nové Mesto",Bratislavský,"ss:9,ss:4",,,
100000880,030775426,Obchodná akadémia Imricha Karvaša,Obchodná akadémia,"Hrobákova 11, Bratislava-Petržalka",Bratislavský,"ss:9,ss:5,ss:4",,,
100000844,030775434,Obchodná akadémia,Obchodná akadémia,"Dudova 4, Bratislava-Petržalka",Bratislavský,"ss:9,ss:5,ss:4",,,
100000055,030791847,Základná škola Dr. Ivana Dérera,Základná škola,"Jelenia 16, Bratislava-Staré Mesto",Bratislavský,"zs:10,ss:9,zs:9,ss:10",,,
100000498,030792975,Súkromná stredná odborná škola HOST,Súkromná SOŠ HOST,"Pionierska 15, Bratislava-Nové Mesto",Bratislavský,"ss:2,ss:5,ss:4",,,
100000170,030795290,Súkromná stredná odborná škola - Gastroškola,Súkromná SOŠ,"Bieloruská 1, Bratislava-Podunajské Biskupice",Bratislavský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100000747,030797969,Súkromné gymnázium ESPRIT,Súkromné gymnázium,"Majerníkova 62, Bratislava-Karlova Ves",Bratislavský,"gym:8,gym:4",,,
100000781,030804663,Súkromná základná škola  s materskou školou Marie Montessori,Súkromná ZŠ s MŠ,"Borinská 23, Bratislava-Lamač",Bratislavský,"zs:10,ss:9,zs:9,ss:10",,,
100000650,030804825,Súkromná stredná odborná škola veterinárna,Súkr. SOŠ veterinárna,"Pod brehmi 6/A, Bratislava-Dúbravka",Bratislavský,"ss:9,ss:4",,,
100000403,030805473,Súkromné gymnázium,Súkromné gymnázium,"Vážska 34, Bratislava-Vrakuňa",Bratislavský,"gym:5,gym:4,gym:8",,,
100000819,030809193,Cirkevná základná škola - Narnia,Cirkevná ZŠ Narnia,"Beňadická 38, Bratislava-Petržalka",Bratislavský,"zs:10,ss:9,zs:9,ss:10",,,
100000298,030810647,Základná škola,Základná škola,"Nevädzová 2, Bratislava-Ružinov",Bratislavský,"zs:10,ss:9,zs:9,ss:10",,,
100000406,030810655,Základná škola,Základná škola,"Železničná 14, Bratislava-Vrakuňa",Bratislavský,"zs:10,ss:9,zs:9,ss:10",,,
100000148,030815339,Cirkevná stredná odborná škola elektrotechnická P. G. Frassatiho,CSOŠE P.G. Frassatiho,"Vazovova 12, Bratislava-Staré Mesto",Bratislavský,"ss:1,ss:9,ss:4,ss:3,ss:2",,,
100000981,030843201,Súkromné gymnázium MERCURY,Súkr. gymnázium Mercury,"Zadunajská cesta 4, Bratislava-Petržalka",Bratislavský,"gym:5,gym:4,gym:8",,,
100000820,030848008,Bilingválne gymnázium C. S. Lewisa,Bilingválne gymnázium,"Haanova 28, Bratislava-Petržalka",Bratislavský,gym:5,,,
100000898,030849934,Súkromná stredná odborná škola Johannes Senio Service,Súkromná SOŠ,"Jungmannova 10, Bratislava-Petržalka",Bratislavský,ss:9,,,
100000423,030858321,Súkromné gymnázium,Súkromné gymnázium,"Česká 10, Bratislava-Nové Mesto",Bratislavský,"gym:8,gym:5,gym:4",,,
100001087,030866065,Základná škola s materskou školou,Základná škola s MŠ,Pernek,Bratislavský,"zs:10,zs:9",,,
100000987,030866952,Súkromná základná škola pre intelektovo nadaných žiakov,Súkr. ZŠ pre intel.nad.,"Znievska 2, Bratislava-Petržalka",Bratislavský,"ss:9,ss:10,zs:10,zs:9",,,
100000338,030868645,Súkromná stredná odborná škola pedagogická a sociálna,Súkr. SOŠ ped. a soc.,"Sklenárova 1, Bratislava-Ružinov",Bratislavský,"ss:9,ss:4",,,
100006281,030997241,Základná škola svätého Ladislava,Cirkevná základná škola,"Lipová 10, Topoľčany",Nitriansky,"zs:10,ss:9,zs:9,ss:10",,,
100009290,031070850,Súkromná stredná odborná škola,Súkr. SOŠ,"Dom Odborov Antona Bernoláka blok B, Žilina",Žilinský,"ss:1,ss:9,ss:3,ss:2",,,
100004625,031201431,Základná škola,Základná škola,"Kubranská 80, Trenčín",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004584,031201440,Základná škola Jána Lipského s materskou školou,ZŠ Jána Lipského s MŠ,Trenčianske Stankovce,Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004569,031201458,Základná škola s materskou školou Samuela Timona,Základná škola s MŠ S T,Trenčianska Turná,Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004024,031201628,Základná škola s materskou školou,Základná škola s MŠ,"Školská 7, Bojnice",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004113,031201636,Základná škola,Základná škola,"SNP 4, Kanianka",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004274,031201661,Základná škola,Základná škola,"Ulica S. Chalupku 14, Prievidza",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004320,031201733,Základná škola s materskou školou,Základná škola s MŠ,Valaská Belá,Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004193,031201741,Základná škola,Základná škola,"Školská 9, Oslany",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004088,031201768,Základná škola,Základná škola,"Školská 53, Handlová",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004080,031201784,Základná škola,Základná škola,"Morovnianska cesta 55, Handlová",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100003422,031202284,Základná škola s materskou školou Pavla Demitru,Základná škola s MŠ,"Centrum II 87, Dubnica nad Váhom",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100003990,031202331,Základná škola,Základná škola,"Školská 10, Považská Bystrica",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100003981,031202349,Základná škola,Základná škola,"Slov. partizánov 53, Považská Bystrica",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004004,031202357,Základná škola Štefana Závodníka,ZŠ Štefana Závodníka,Pružina,Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100003904,031202365,Základná škola Dominika Tatarku,Základná škola DTatarku,Plevník-Drienové,Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004440,031202411,Základná škola s materskou školou,Základná škola s MŠ,Záriečie,Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004400,031202420,Základná škola,Základná škola,"Mládežnícka 16, Púchov",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004363,031202462,Základná škola Eduarda Schreibera,ZŠ Eduarda Schreibera,"Schreiberova 372, Lednické Rovne",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100004377,031202471,Základná škola s materskou školou,Základná škola s MŠ,Lysá pod Makytou,Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100003380,031202641,Základná škola s materskou školou,Základná škola s MŠ,Slatina nad Bebravou,Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100003339,031202659,Základná škola,Základná škola,"Školská 29, Bánovce nad Bebravou",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100003703,031202667,Základná škola,Základná škola,"Kpt. Nálepku 855, Nové Mesto nad Váhom",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100003719,031202675,Základná škola,Základná škola,"Tematínska 2092, Nové Mesto nad Váhom",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100003576,031202802,Základná škola,Základná škola,"Štúrova 18, Myjava",Trenčiansky,"zs:10,ss:9,zs:9,ss:10",,,
100015039,031262767,Súkromné gymnázium,Súkromné gymnázium,"Dneperská 1, Košice-Nad jazerom",Košický,"gym:8,gym:4",,,
100015014,031263071,Základná škola,Základná škola,"Užhorodská 39, Košice-Juh",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015005,031263089,Základná škola,Základná škola,"Staničná 13, Košice-Juh",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100014999,031263097,Základná škola,Základná škola,"Požiarnická 3, Košice-Juh",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015059,031263101,Základná škola Jozefa Urbana,Základná škola J.Urbana,"Jenisejská 22, Košice-Nad jazerom",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100014971,031263119,Základná škola,Základná škola,"Gemerská 2, Košice-Juh",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015045,031263127,Základná škola,Základná škola,"Družicová 4, Košice-Nad jazerom",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015034,031263151,Základná škola,Základná škola,"Bukovecká 17, Košice-Nad jazerom",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100014955,031263160,Základná škola,Základná škola,"Abovská 36, Košice-Barca",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100015035,031295657,Súkromná stredná odborná škola,Súkr.str.odborná škola,"Bukovecká 17, Košice-Nad jazerom",Košický,"ss:9,ss:4",,,
100015243,031302912,Základná škola,Základná škola,"Československej armády 15, Moldava nad Bodvou",Košický,"zs:10,ss:9,zs:9,ss:10",,,
100014729,031305288,Evanjelické gymnázium Jána Ámosa Komenského,Evanjelické gymnázium,"Škultétyho 10, Košice-Staré Mesto",Košický,gym:5,,,
100014021,031305318,Základná škola,Základná škola,"Bernolákova ulica 1061, Vranov nad Topľou",Prešovský,"zs:10,ss:9,zs:9,ss:10",,,
100015662,031309577,Špeciálna základná škola,Špec. základná škola,"Tichá 50, Trhovište",Košický,"ss:9,zs:10,zs:9,ss:10",,,
100015411,031309585,Špeciálna základná škola,Špec. základná škola,Vtáčkovce,Košický,"ss:9,zs:10,zs:9,ss:10",,,
100016114,031309666,Špeciálna základná škola,Špec. základná škola,"Ul. SNP 49, Krompachy",Košický,"ss:9,zs:10,zs:9,ss:10",,,
100016120,031309674,Špeciálna základná škola,Špec. základná škola,"Slovenského raja 16, Letanovce",Košický,"ss:9,zs:10,zs:9,ss:10",,,
100016556,031309712,Špeciálna základná škola,Špec. základná škola,"M. R. Štefánika 83, Trebišov",Košický,"ss:9,zs:10,zs:9,ss:10",,,
100016489,031309828,Špeciálna základná škola,Špec. základná škola,"SNP 53, Sečovce",Košický,"ss:9,zs:10,zs:9,ss:10",,,
100014940,031313833,Súkromná stredná odborná škola ekonomicko-technická,Súkr.SOŠ ekonomicko-technická,"Postupimská 37, Košice-Dargovských hrdinov",Košický,"ss:1,ss:9,ss:4,ss:3,ss:2,ss:5",,,
