eduid,id,official_name,official_short,official_address,official_region,official_years,our_name,our_short,our_years
100002395,000160318,Gymnázium Pierra de Coubertina,Gymnázium P.Coubertina,"Nám. SNP 9, Piešťany",Trnavský,"gym:8,gym:5,gym:4",,,
100001480,000160326,Gymnázium Antona Bernoláka,Gymnázium A. Bernoláka,"Lichnerova 69, Senec",Bratislavský,"gym:8,gym:4",,,
100002575,000160342,Gymnázium Ladislava Novomeského,Gymnázium L.Novomeského,"Dlhá 12, Senica",Trnavský,"gym:8,gym:4",,,
100002074,000160351,Gymnázium Vojtecha Mihálika,Gymnázium V.Mihálika,"Kostolná 8, Sereď",Trnavský,"gym:8,gym:4",,,
100002740,000160369,Gymnázium Františka Víťazoslava Sasinka,Gymnázium F.V.Sasinka,"Námestie slobody 3, Skalica",Trnavský,"gym:8,gym:4",,,
100006794,000160423,Gymnázium - Gimnázium,Gymnázium - Gimnázium,"Adyho 7, Štúrovo",Nitriansky,"gym:8,gym:4",,,
100006254,000160440,Gymnázium,Gymnázium,"17. novembra 16, Topoľčany",Nitriansky,"gym:8,gym:4",,,
100004596,000160458,Gymnázium Ľudovíta Štúra,Gymnázium ĽudovítaŠtúra,"1. mája 2, Trenčín",Trenčiansky,"gym:8,gym:5,gym:4",,,
100003007,000160466,Gymnázium Jána Hollého,Gymnázium J.Hollého,"Na hlinách 30, Trnava",Trnavský,"gym:8,gym:5,gym:4",,,
100006555,000160482,Gymnázium Janka Kráľa,Gymnázium J. Kráľa,"Slov.národ.povstania 3, Zlaté Moravce",Nitriansky,"gym:8,gym:4",,,
100006602,000160504,Gymnázium Jána Amosa Komenského - Comenius Gimnázium,Gymn. J.A.Komenského - Comenius Gimn.,"Štúrova 16, Želiezovce",Nitriansky,"gym:8,gym:4",,,
100009344,000160521,Gymnázium Andreja Sládkoviča,Gymnázium A.S.,"J.A Komenského 18, Banská Bystrica",Banskobystrický,"gym:8,gym:4",,,
100009598,000160539,Gymnázium Andreja Kmeťa,Gymnázium A.K.,"Kolpašská 9, Banská Štiavnica",Banskobystrický,"gym:8,gym:5,gym:4",,,
100009701,000160547,Gymnázium Jána Chalupku,Gymnázium J.CH.,"Štúrova 13, Brezno",Banskobystrický,"gym:8,gym:4",,,
100007023,000160555,Gymnázium,Gymnázium,"Štefánikova 4, Bytča",Žilinský,"gym:8,gym:4",,,
100007094,000160563,Gymnázium Jozefa Miloslava Hurbana,Gymnázium J. M. Hurbana,"17. novembra 1296, Čadca",Žilinský,"gym:8,gym:5,gym:4",,,
