eduid,id,name,short,address,years
100000770,710147663,Gymnázium,SŠ-Gymnázium,"Tilgnerova 14, Bratislava-Karlova Ves","gym:5,gym:4,gym:8"
100009794,710147873,Špeciálna základná škola internátna,Špeciálna zákl.škola i.,"Švermova 1, Valaská","zs:9,zs:10"
100011014,710147881,Špeciálna základná škola pre žiakov s telesným postihnutím,Spojená škola - ŠZŠ,"Školská 5, Nová Baňa","zs:9,zs:10"
100016564,710148584,Špeciálna základná škola internátna,Spoj.škola int.- ŠZŠ i.,"Poľná 1, Trebišov","zs:9,zs:10"
100014688,710151314,Základná škola a gymnázium,"Základná škola, G s VJM","Kuzmányho 6, Košice-Staré Mesto","zs:9,zs:10"
100000752,710151528,Základná škola pre žiakov s telesným postihnutím,SŠ - ZŠ pre TP,"Mokrohájska cesta 3, Bratislava-Karlova Ves","zs:9,zs:10"
100012263,710151830,Špeciálna základná škola pre žiakov so zrakovým postihnutím internátna,Spoj. škola i.-ŠZŠzrpi.,"Nám. Štefana Kluberta 2, Levoča","zs:9,zs:10"
100012814,710153606,Základná škola sv. Mikuláša,ZŠ - Katolícka spoj. škola sv. Mikuláša,"Duklianska 16, Prešov","zs:9,zs:10"
100000983,710155587,Súkromná bulharská základná škola,Súkromná bulharská ZŠ,"Záporožská 8, Bratislava-Petržalka","zs:9,zs:10"
100012251,710155833,Odborné učilište pre žiakov so zrakovým postihnutím internátne,Spoj. škola i.-OUzrpi.,"Nám. Štefana Kluberta 1, Levoča","ss:3,ss"
100001705,710156065,Základná škola,ZŠ,"Eliášovce, Nový Život",zs:9
100004931,710156170,Základná škola,Základná škola,Bajč,"zs:9,zs:10"
100005688,710156235,Základná škola,Základná škola,Neded,"zs:9,zs:10"
100010170,710156545,Základná škola,Základná škola,Trenč,"zs:9,zs:10"
100010752,710156677,Základná škola,Základná škola,"Krtíšska 87, Veľké Zlievce","zs:9,zs:10"
100012232,710158130,Špeciálna základná škola Jána Vojtaššáka internátna,Spojená škola int.-ŠZŠi,"Kláštorská a, Levoča","zs:9,zs:10"
100013848,710158149,Stredná odborná škola,Spojená škola - SOŠ,Čaklov,"zs:9,ss:2"
100006611,710159013,Základná škola,Základná škola,Žihárec,"zs:9,zs:10"
100012822,710159625,Základná škola s materskou školou pre žiakov s narušenou komunik. schop. int.,Spoj. škola - ZŠnks.i,"Duklianska 2, Prešov","zs:9,zs:10"
100000505,710159986,Škola pre mimoriadne nadané deti a gymnázium,Gymn. pre nadané deti,"Skalická 1, Bratislava-Nové Mesto","gym:4,gym:8"
100000446,710160062,Špeciálna základná škola pre žiakov so sluchovým postihnutím internátna,SŠ - ŠZŠ pre sl.p.i.,"Hrdličkova 17, Bratislava-Nové Mesto","zs:9,zs:10"
100001817,710160860,Základná škola,Základná škola s VJM,"Mliečno 124, Šamorín","zs:9,zs:10"
100014032,710162111,Špeciálna základná škola pre žiakov s telesným postihnutím,Spojená škola -ŠZŠtp,"Budovateľská 1309, Vranov nad Topľou","zs:9,zs:10"
100001569,710162448,Základná škola,Základná škola pri LVS,Čakany,"zs:9,zs:10"
100006545,710162529,Základná škola,Základná škola pri RC,"Prílepská 6, Zlaté Moravce","zs:9,zs:10"
100006546,710162537,Stredná odborná škola,SOŠ pri Reedukač.centre,"Prílepská 6, Zlaté Moravce","ss:4,ss:3,ss:1,ss:2,ss:5"
100005882,710162545,Základná škola,Základná škola pri LVS,"Pri kaštieli 1, Nitra","zs:9,zs:10"
100012299,710163045,Odborné učilište,RC - Odborné učilište,"Námestie Štefana Kluberta 1, Levoča","ss:3,ss"
100001144,710163398,Odborné učilište,Odbor. učilište pri RC,Veľké Leváre,ss:3
100001110,710163410,Základná škola,Základná škola pri RC,Sološnica,"zs:9,zs:10"
100001112,710163428,Stredná odborná škola,Str.odb.škola pri RC,Sološnica,"ss:4,ss:3,ss:1,ss:2,ss:5"
100001111,710163436,Odborné učilište,Odbor. učilište pri RC,Sološnica,"ss:3,ss"
100000448,710163460,Základná škola,Základná škola pri LVS,"Hrdličkova 21, Bratislava-Nové Mesto","zs:9,zs:10"
100008457,710163967,Základná škola,Základná škola pri LVS,"Ľubochnianska dolina 6, Ľubochňa","zs:9,zs:10"
100014601,710165277,Základná škola,Základná škola pri RC,"Bankov č. 15, Košice-Sever","zs:9,zs:10"
100016139,710165285,Špeciálna základná škola,Špeciálna ZŠ pri RC,"Biele Vody 267, Mlynky","zs:9,zs:10"
100016324,710165293,Špeciálna základná škola,Špeciálna ZŠ pri RC,"Školská 158, Bačkov","zs:9,zs:10"
100014961,710165331,Základná škola,Základná škola pri LVS,"Tešedíkova 3, Košice-Barca","zs:9,zs:10"
100002261,710165765,Stredná odborná škola,SOŠ pri RC,"Zámok 9, Hlohovec","ss:4,ss:3,ss:1,ss:2,ss:5"
100010380,710166095,Špeciálna základná škola,Špec.zákl.škola pri RC,"Samuela Kollára 72, Čerenčany","zs:9,zs:10"
100010379,710166117,Základná škola,Základná škola pri RC,"Samuela Kollára 72, Čerenčany","zs:9,zs:10"
100010342,710166125,Stredná odborná škola,SOŠ pri RC,"Mierová 137, Tornaľa","ss:4,ss:3,ss:1,ss:2,ss:5"
100008474,710166443,Základná škola,Základná škola,Ludrová,"zs:9,zs:10"
100001384,710166559,Základná škola,Základná škola,Igram,"zs:9,zs:10"
100015757,710166796,Odborné učilište,Spoj.škola - OU,"Nová, Dobšiná","ss:3,ss"
100016160,710166800,Odborné učilište,Spojená škola - OU,"Zimné 465, Rudňany","ss:3,ss"
100011770,710167520,Základná škola sv. Cyrila a Metoda,Cirk. spojená škola -ZŠ,"Duchnovičova 24, Humenné","zs:9,zs:10"
100009110,710168993,Odborné učilište,Odborné učilište pri SŠi,"Fatranská 22, Žilina","ss:3,ss"
100012406,710170076,Základná škola sv. Jána Pavla II.,ZŠ sv. Jána Pavla II.-Spoj. škola,"Dlhé hony 2, Poprad","zs:9,zs:10"
100010361,710170114,Základná škola s materskou školou,Základná škola s MŠ,Abovce,"zs:9,zs:10"
100011112,710170122,Súkromná základná škola s materskou školou,Spojená škola - ZŠ s MŠ,"Angyalova ulica 31, Kremnica","zs:9,zs:10"
100009487,710170327,Stredná odborná škola elektrotechnická,Spojená škola - SOŠ el.,"Zvolenská cesta 18, Banská Bystrica","ss:4,zs:9,ss:3,ss:1,ss:2"
100009459,710170335,Stredná odborná škola automobilová,Spojená škola - SOŠ aut,"Školská 7, Banská Bystrica","ss:4,zs:9,ss:3,ss:1,ss:2"
100015197,710170599,Základná škola,Základná škola,"M. Kočanovej 2, Kostoľany nad Hornádom","zs:9,zs:10"
100005762,710170955,Základná škola sv. Svorada a Benedikta,ZŠ - SKŠ,"Farská 43, Nitra","zs:9,zs:10"
100009190,710171030,Základná škola Kráľovnej pokoja,ZŠ pri SŠ KP,"Na Závaží, Žilina","zs:9,zs:10"
100006474,710171080,Špeciálna základná škola,Špeciálna zákl.škola,"Nám. kpt. Nálepku 613, Vráble","zs:9,zs:10"
100000269,710171374,Základná škola,SŠ-Základná škola,"Košická, Bratislava-Ružinov","zs:9,zs:10"
100012862,710171773,Stredná odborná škola technická,Spojená škola-SOŠ tech.,"Ľ. Podjavorinskej 22, Prešov","ss:4,zs:9,ss:3,ss:1,ss:2"
100004518,710171900,Základná škola sv. Michala,ZŠ sv.M. Kat.spoj. školy,"Školská 9, Nemšová","zs:9,zs:10"
100001482,710172605,Stredná odborná škola ekonomická a pedagogická,SŠ-SOŠ s VJM,"Lichnerova 71, Senec","ss:4,zs:9"
100012951,710172966,Základná škola,Spojená škola - ZŠ,"Sládkovičova 4, Prešov","zs:9,zs:10"
100013766,710173016,Základná škola,Spojená škola - ZŠ,"Centrálna 2, Svidník","zs:9,zs:10"
100016474,710173539,Gymnázium,Spoj. škola - Gymnázium,"Kollárova 17, Sečovce","gym:4,gym:8"
100001457,710173768,Súkromná základná škola,Súkr. ZŠ pri súkr. LVS,"Diaľničná cesta 3, Senec","zs:9,zs:10"
